Name,Address1,Address2,Area
Café Des amis,1 Kildare Street,,Dublin 2
Mater Dei Institute of Education,204 Clonliffe Road,,Dublin 3
Chai-Yo Restaurant,100 Lower Baggot Street,,Dublin 2
Pizza Max,84 Lower Camden Street,,Dublin 2
The Bridge Inn,1 St. Lawrence Road,Chapelizod,Dublin 20
Lotus Garden,16 Fairview,,Dublin 3
Londis,174 Walkinstown Roadd,Walkinstown,Dublin 12
Palm Tree Restaurant,16 Temple Bar,,Dublin 2
Bahay Kubo Restaurant,14 Bath Avenue,Sandymount,Dublin 4
The Oval,160 Shelbourne Road,Ballsbridge,Dublin 4
Kennard Costcutter,Unit 4 Clonshaugh Shopping Centre,Coolock,Dublin 17
The Bagel Factory,Unit 4 Lower Mayor Street,IFSC,Dublin 7
AIB Bank,219 Crumlin road,,Dublin 12
Yuan Chinese Restaurant,106 Parnell Street,,Dubliin 1
The Temple Pub,71 Upper Dorset Street,,Dublin 1
Da Vincenzo,133 Upper Leeson Street,,Dublin 4
The Bleeding Horse,Camden Street,,Dublin 2
Bennys XL Stop and Shop,8 Emmet Street,North Circular Road,Dublin 1
McGowans Pub,18 Phibsboro Road,,Dubln 7
Thant Cong,Unit 3 Proiswood Sic,Coolock,Dublin 17
Spar 8-12,14 Thorncastle Street,Ringsend,Dubllin 4
Deli Suz,58a Blessington Street,,Dublin 7
Dunnes Stores,Northside Shopping Centre,Oscar Traynor Road,Dublin 2
Dunnes Stores,North Earl Street,,Dublin 1
Dunnes Stores,Swan Centre,Lower Rathmines Road,Dublin 6
Dunnes Stores,Ilac Centre,Moore Street,Dublin 1
Dunnes Stores,South Great Georges Street,,Dublin 2
Dunnes Stores,Henry Street,,Dublin 1
Dunnes Stores,St. Stephens Green Shopping Centre,St. Stephens Green,Dublin 2
Pizza Max,Unit 3 Mapas Court,Lower Clanbrassil Street,Dublin 8
Rocca's,107a Malahide Road,Donneycarney,Dublin 3
Fusciardi's,27 Marlborough Street,,Dublin 1
Le Bon Crubeen,81 Talbot Street,,Dublin 1
Centra,Shangan Road,Ballymun,Dublin 9
Fish Bar,148 Sundrive Road,Crumlin,Dublin 12
Dominos Pizza,178 Crumlin Road,,Dublin 12
Dominos Pizza,Unit 1 Kish House,Greendale Road,Dublin 5
Arvato Finance Services,"Gilde House, Eastpoint Business Park",Fairview,Dublin 3
Larry Murphys,43-44 Lower Baggot Street,,Dublin 2
Ballyfermot Family Resource Centre,Lynchs Lane,Ballyfermot,Dublin 10
Spar Kenilworth,245 Harolds Cross Road,,Dublin 6W
Gino's Take Away,430 South Circular Road,Rialto,Dublin 8
Amber Grill,451 South Circular Road,Rialto,Dublin 8
Wans Garden,191 Howth Road,Killester,Dublin 3
"Department of Enterprise, Trade & Employment",23 Kildare Street,,Dublin 2
Café Manila,74 Middle Abbey Street,,Dublin 1
Spar,"The Olive Tree, 176 South Circular Road",,Dublin 8
Debenhams,52-64 Henry Street,,Dublin 1
toss'd Noodles & Salads,"Unit 1 Chq Building, IFSC",Docklands,Dublin 1
Spar,290 Ballyfermot Road,,Dublin 10
Mario's,39 Ranelagh Village,,Dublin 6
Domino's Pizza,106 Upper Drumcondra Road,,Dublin 9
Dominos Pizza,101a New Cabra Road,,Dublin 7
Mario's,103 Terenure Road East,,Dublin 6
Yong's Chinese Take Away,"Unit 4, Cardiffsbridge Road, Dunnes Stores S.C.",Finglas,Dublin 11
Stoneybatter Community Training Centre,60-61 Manor Street,,Dublin 7
The Orchid Szechuan Restaurant,120 Pembroke Road,Ballsbridge,Dublin 4
Thai Thai Take Away,183 Lower Kimmage Road,,Dublin 12
Rose Garden Chinese Restaurant,471 South Circular Road,Rialto,Dublin 8
Swai Malaysian Restaurant,Unit 1B The Campshires,North Wall Quay,Dublin 1
Mace McHugh,45 Homefarm Road,Drumcondra,Dublin 9
Café Bar Deli,62 Ranelagh Village,Ranelagh,Dublin 9
BoBos Burgers,22 Wexford Street,,Dublin 2
McDonalds,Unit 1 Swan Shopping Centre,Rathmines,Dublin 6
Punjab Balti,15 Ranelagh Village,Ranelagh,Dublin 6
Il Corvo Restaurant,98-100 Upper Drumcondra Road,,Dublin 9
Chilli Banana Restaurant,112 Upper Drumcondra Road,,Dublin 9
Central Bank & Financial Serv. Authority of Irelan,PO Box 11517 Spencer Dock,North Wall Quay,Dublin 1
Soikoth,43 Ballybough Road,,Dublin 3
The Lobster Pot,9 Ballsbridge Terrace,,Dublin 4
New Welcome Chinese Restaurant,"18 May Park, Malahide Road",Donnycarney,Dublin 5
Rocca Take Away,60 Fassaugh Avenue,Cabra West,Dublin 7
Elmhurst Convalescent Centre,Hampstead Avenue,,Dublin 11
Hanlons Bar,Hanlons Corner,189 North Circular Road,Dublin 7
Fitzwilliam Lawn Tennis Club,Appian Way,,Dublin 6
The Woolshed Bar & Grill,Unit 4 Parnell Centre,Parnell Street,Dublin 1
Mace Beaumont Ltd,12-12a Shantalla Road,Beaumont,Dublin 9
Harrys,22 Dawson Street,,Dublin 9
Catherine McAuley House,Beaumont Woods,Beaumont Road,Dublin 9
The Gigs Place,43 South Richmond Street,,Dublin 2
Drury Court Hotel,28 Lower Stephens Street,,Dublin 2
Il Fornaio,1b Valentia House,"Mayor Square, IFSC",Dublin 1
Bank of Ireland,Hume House,Pembroke Road,Dublin 4
Bank of Ireland,Haddington Centre,Percy Place,Dublin 4
Bank of Ireland,Ferry House,Lower Mount Street,Dublin 2
Bank of Ireland,Colm House,Pembroke Road,Dublin 4
Bank of Ireland,Colvill House,Talbot Street,Dublin 1
Transilvania Restaurant,7 Henrietta Place,,Dublin 7
Madigans,4 Lower Abbey Street,,Dublin 1
The Horse Show House,32 Merrion Road,Ballsbridge,Dublin 4
Quintiles Ireland Ltd,Eastpoint Business Park,Fairview,Dublin 3
Arnotts Ltd,12-15 Henry Street,,Dublin 1
Town Bar & Grill,21 Kildare Street,,Dublin 2
Centra Ranelagh,The Triangle,Ranelagh,Dublin 6
Bus Eireann Broadstone,21 Phibsboro Road,,Dublin 7
Rosalyn Park College,Beach Road,Sandymount,Dublin 4
Tippenyaki Restaurant,39 Castlewood Avenue,Rathmines,Dublin 6
Dunnes Stores,Donaghmede Shopping Centre,,Dublin 13
Slatterys Bar,62 Upper Grand Canal Street,,Dublin 4
Mason Hayes & Curran,South Bank House,Barrow Street,Dublin 4
The Great Wall Chinese Take Away,180 Crumlin Road,Crumlin,Dublin 12
St. Patricks Hospital,James Street,,Dublin 8
Spar Cabra,99a-101 New Cabra Road,,Dublin 7
Truvo Ireland Ltd,"St. Martins House, Waterloo House",,Dublin 4
Boyers & Co. Ltd,19-22 North Earl Street,,Dublin 1
Il Fornaio,55 Kilbarrack Road,Raheny,Dublin 5
Mona Lisa,176 Crumlin Road,Crumlin,Dublin 12
Spar,Chapelizod,,Dublin 20
Bella Cuba Restaurant,11 Ballsbridge Terrace,Ballsbridge,Dublin 4
Grand Canal Hotel,Upper Grand Canal Street,,Dublin 4
Burger King,Omni Park Shopping Centre,Santry,Dublin 9
Burger King,"UCI Cinema Complex, Malahide Road",Coolock,Dublin 5
Burger King,Clearwater Shopping Centre,Finglas,Dublin 11
Hole in the Wall Chipper,23a Cardiffsbridge Road,Finglas West,Dublin 11
St. Vincents University Hospital,Elm Park,,Dublin 4
Spar,131 Upper Leeson Street,,Dublin 4
Eno Wine Ltd,Custom House Square,IFSC,Dublin 1
Grand Central Bar,10-11 O'Connell Street,,Dublin 1
Gin Palace,42 Middle Abbey Street,,Dublin 1
Jimmy Chung's Buffet Restaurant,4-8 Eden Quay,,Dublin 1
McDonalds,144 Phibsboro Road,,Dublin 7
Londis,5b East Road,East Wall,Dublin 3
Bank of Ireland,40 Mespil Road,,Dublin 4
79 Inn,367 Ballyfermot Road,Ballyfermot,Dublin 10
Mizzoni Pizza Pasta Company,200 Harolds Cross Road,,Dublin 6W
Kingsland Restaurant,15 Dame Street,,Dublin 2
The Royal Dublin Golf Club,North Bull Island Nature Reserve,,Dublin 3
Enterprise Ireland,The Plaza,Eastpoint Business Park,Dublin 3
Tasty Options,112 Lower Dorset Street,,Dublin 1
Aurora Café Bar,72/73 Upper Dorset Street,,Dublin 1
Castle Hotel,Great Denmark Street,,Dublin 1
Stauntons on the Green,83 St. Stephens Green,,Dublin 2
Hotel St. George,Parnell Square,,Dublin 1
Centra,115 Jamestown Road,Finglas,Dublin 11
Macari's Take Away,4 St. Pappins Road,Glasnevin,Dublin 11
The 101 Talbot,Upstairs 101 Talbot Street,,Dublin 1
The Crossbar Sports Bar,236-238 Harolds Cross Road,,Dublin 6W
Red Rice Chinese Take Away,155 Lower Kimmage Road,Kimmage,Dublin 6
The Cheese Pantry,104 Upper Drumcondra Road,,Dublin 9
Citi,1 North Wall Quay,,Dublin 1
Centra/Maxol,Butterly Business Park,"Kilmore Road, Artane",Dublin 5
The Halfway House,Walkinstown,,Dublin 12
Department of Education and Science,Marlborough Street,,Dublin 1
Eurospar,Gordon House,Barrow Street,Dublin 4
MYO,Excise Building,Lord Mayor Street,Dublin 4
La Goona,"Unit 4, Custom House Square",IFSC,Dublin 1
Google Ireland Ltd,Gordon House,Barrow Street,Dublin 4
Londis,82 South Circular Road,,Dublin 8
Jazz Chinese Restaurant,Beechpark Avenue,Coolock Village,Dublin 5
The Vintage Inn,74 Irishtown Road,,Dublin 4
Chess Chinese Take Away,Unit 12 the Park S/C,Prussia Street,Dublin 7
Nadar Coffee Shop,Unit No. 9 Cardiff Bridge Shopping Centre,"Cardiff Bridge road, Finglas",Dublin 11
Cucina,Unit 9a Kings Court,Parnell Street,Dublin 1
D4 Hotels,Pembroke Road,Ballsbridge,Dublin 4
Bellamys,13-15 Ballsbridge Terrace,Ballsbridge,Dublin 4
Taco Taco,Epicurean Foodhall,Lower Liffey Street,Dublin 1
VHI,VHI House,Lower Abbey Street,Dublin 1
UPC Ireland,P2 East Point Business Park,,Dublin 3
Montys of Rathgar,88 Rathgar Road,Rathgar,Dublin 6
Zaytoon Restaurant,44/45 Camden Street,,Dublin 2
The Portobello Hotel & Bar,33 South Richmond Street,,Dublin 2
Old Wesley Rugby Football Club,Donnybrook,,Dublin 4
Ming Chinese Take Away,17a Edenmore Shopping Centre,Raheny,Dublin 5
West County Hotel,Old Lucan Road,Chapelizod,Dublin 20
Mezza,13 Parliament Street,,Dublin 2
The Canal Bank Café,146 Upper Leeson Street,,Dublin 4
91 Asia Buffet,90-91 Marlborough Street,,Dublin 1
Emerald House Chinese Take Away,26 Crumlin Road,,Dublin 12
Murrays Bar,1 Bow Bridge,Kilmainham,Dublin 8
Dropping Well,Miltown Road,Miltown,Dublin 6
Jade House chinese Take Away,7 Sundrive Road,Kimmage,Dublin 12
 m N Rice Indian Take Away,34 Lower Dorset Street,,Dublin 1
St. Vincents Private Hospital,Herbert Avenue,Merrion,Dublin 4
The Brazen Head,20 Lower Bridge Street,,Dublin 8
Space Chinese Take Away,13 Prospect Road,,Dublin 9
Oslo Bar,Connolly Station,,Dublin 1
Kinara Restaurant,318 Clontarf Road,,Dublin 3
Food Inn Chinese Take Away,365 Ballyfermot Road,Ballyfermot,Dublin 10
Some Like it Hot,50 Lower Drumcondra Road,,Dublin 9
Roly's Bistro,7 Ballsbridge Terrace,Ballsbridge,Dublin 4
Mace,578 South Circular Road,,Dublin 8
Carrick Hall Hotel & TK 2 Restaurant,69 Orwell Road,Rathgar,Dublin 6
Cassidys Pub,42 Lower Camden Street,,Dublin 2
Konkan Indian Restaurant,46 Upper Clanbrassil Street,,Dublin 8
Manor Take Away Foods,47 Manor Street,,Dublin 7
Peppe Café,31 North Brunswick Street,,Dublin 7
Babylon,83 Lower Camden Street,,Dublin 2
Rico's Take Away,26 South Richmond Street,,Dublin 2
Dergvale Hotel,4 Gardiner Place,,Dublin 1
Golden Mountain,88 Shantalla Road,Beaumont,Dublin 9
Centra,280 Lower Rathmines Road,Rathmines,Dublin 6
Tribeca Restaurant,65 Ranelagh Village,Ranelagh,Dublin 6
Spar,64-66 Ranelagh Village,Ranelagh,Dublin 6
Inspire Café & Main Kitchen in Simmonscourt Pavill,Royal Dublin Society (RDS),Ballsbridge,Dublin 4
Members Only Kitchen & Merrion & Minerva Kitchen,Royal Dublin Society (RDS),Ballsbridge,Dublin 4
"Lawn Kitchen, Ailesbury Kitchen & Lansdowne Kitche",Royal Dublin Society (RDS),Ballsbridge,Dublin 4
Spar,"Shanowen Square, Shanowen Road",Santry,Dublin 4
Zao Noodle Bar Ltd,96b Omni Park Shopping Centre,Santry,Dublin 9
Hampton Hotel,19-29 Morehampton road,Donnybrook,Dublin 4
Department of Social & Family Affairs,Floor 6 Aras Mc Dhiarmada,Store Street,Dublin 1
Bon Espresso,137 Lower Baggot Street,,Dublin 2
Bon Espresso,95 Lower Mount Street,,Dublin 2
Bon Espresso,1-2 Lower Mount Street,,Dublin 2
The Loft Café,32 Grafton Street,,Dublin 2
Rokoko,Eastpoint Business Park,Fairview,Dublin 3
Carmines Carvery,4a Church Street,Finglas,Dublin 3
Fountain Take Away,125 James Street,,Dublin 8
Whitehall Chinese Take Away,404 Collins Avenue,,Dublin 9
Crispers Sandwich Bar,6 Berkeley Road,Phibsboro,Dublin 7
The Joy of Coffee,25 Essex Street,Temple Bar,Dublin 2
Days Hotel - Dublin Airport,Santry Cross,Ballymun,Dublin 11
The Swedish Food Company,24 Upper Baggot Street,,Dublin 2
Fortis House,Park Lane,Spencer Dock,Dublin 1
Little Caesars Palace,1-5 Balfe Street,,Dublin 2
Spar,9 Cardiffsbridge Road,Finglas,Dublin 11
Little Caesars of Terenure,101 Terenure Road East,Terenure,Dublin 6
Dublin Institute of Technology,Cathal Brugha Street,,Dublin 1
JP Morgan House,1 Georges Dock,IFSC,Dublin 1
All Hallows College,Gracepark Road,Drumcondra,Dublin 9
Pizza Max,131 Eastwall Road,Eastwall,Dublin 3
Four Star Pizza,7 Marino Mart,Fairview,Dublin 3
Canaletto Restaurant,71 Mespil Road,,Dublin 4
Uppercross House Hotel,26-30 Upper Rathmines Road,Rathmines,Dublin 6
The Bagel Bar,Unit 5a Clarion Quay,IFSC,Dublin 1
Panama Bar,30 Bachelors Walk,,Dublin 1
Mace,37 Kinvara Park,Navan Road,Dublin 7
Eircom,East Point Business Park,East Wall,Dublin 3
Eircom Facilities,1 HSQ Military Road,,Dublin 8
Flavours,9 Barrow Street,Ringsend,Dublin 4
Spar,Hilltop Shopping Centre,Raheny,Dublin 3
Dunnes Stores,Cardiff Bridge Road,Finglas,Dublin 11
Four Seasons Hotel,Simmonscourt Road,Ballsbridge,Dublin 4
Kitty Kiernans,61-63 Collins Avenue,,Dublin 9
New Bridge Chinese Take Away,Unit 10 Edenmore Shopping Centre,Raheny,Dublin 5
Maples House Hotel,79 Iona Road,Glasnevin,Dublin 11
Beaumont House,1 Shantalla road,Beaumont,Dublin 9
Late Shopper,153-155 Upper Rathmines Road,Rathmines,Dublin 6
Field & Vine,151 Upper Rathmines Road,Rathmines,Dublin 6
La Corte IFSC,"Unit 5C Lower Mayor Street, Custom Hse Square",IFSC,Dublin 1
Shebeen Chic,4 South Great Georges Street,,Dublin 2
Dublin Central Mission,"Mount Tabor, Sandymount Greet",Sandymount,Dublin 4
Subway,Smithfield Village,,Dublin 7
Subway,"Lidl Retail Pk, Walkinstown Ave",Walkinstown,Dublin
AIG Centre,North Wall Quay,,Dublin 1
King Kebab House,96 Upper Dorset Street,,Dublin 1
Little Bites Café,The Novum Building,Clonshaugh Ind. Est.,Dublin 17
Orwell House,112 Orwell Road,Rathgar,Dublin 6
Belvedere College,6-9 Great Denmark Street,,Dublin 1
Havana Tapas Bar Ltd,3 Camden Market,Grantham Street,Dublin 8
The Gate Bar,153-155 Crumlin Road,Crumlin,Dublin 12
The Seabank House,127 East Wall Road,East Wall,Dublin 3
Le Cirk Hotel,32 Dame Street,,Dublin 2
Bon Espresso,9 Ballsbridge Terrace,Ballsbridge,Dublin 4
Hilton Dublin Kilmainham,Inchicore Road,,Dublin 8
The Jackson Court Hotel,29/30 Harcourt Street,,Dublin 2
Georgian Court,77-79 Lower Gardiner Street,,Dublin 1
The Garden & Madison Bar,304 Lower Rathmines Road,Rathmines,Dublin 6
McDonalds,Donaghmede Shopping Centre,Donaghmede,Dublin 13
Canton City,2 Manor Street,,Dublin 7
Kylemore House,Olda Naas Road / Kylemore Road,,Dublin 12
 Sandro's Take Away,101 Old County Road,Crumlin,Dublin 12
Alex's Take Away,10 Shantalla Road,Beaumont,Dublin 9
Kylemore Community Training Centre,1st Floor Ballyfermot Resource Centre,Ballyfermot Road,Dublin 10
First Class Oriental,42 Main Street,Finglas,Dublin 11
Gala Service Station,3-6 Mount Brown,Kilmainham,Dublin 8
FAS Training Centre,57-60 Jervis Street,,Dublin 1
Ely Chq,Custom House Quay,IFSC,Dublin 1
Jurys Croke Park Hotel,Jones Road,,Dublin 3
Gasgoigne House Nursing Home,37-39 Cowper Road,Rathmines,Dublin 6
Spar,122 Upper Drumcondra Road,Drumcondra,Dublin 9
Spar,5 Fitzmaurice Road,Finglas East,Dublin 11
Spar,72 Fassaugh Avenue,Cabra,Dublin 7
La Dolce Vita Restaurant,760 South Circular Road,Kilmainham,Dublin 8
Sheries Ltd,3 Lower Abbey Street,,Dublin 1
Spar,Unit 2 Gandon House,Custom House Square,Dublin 1
Garibaldi,3 Talbot Street,,Dublin 1
the Hamburger Bar,47 Kilbarrack Road,,Dublin 5
Ali's Lido,Site 16 Edenmore Shopping Centre,Raheny,Dublin 5
Spar,119 Thomas Street,,Dublin 1
Dunnes Stores,Ashleaf Shopping Centre,Crumlin Cross,Dublin 12
Monto Café,45 Sundrive Road,Crumlin,Dublin 12
Tesco Sandymount,80 Sandymount Road,Sandymount,Dublin 4
Tesco Clarehall,Clarehall Shopping Centre,Malahide,Dublin 17
Tesco Rathmines,Upper Rathmines Road,Rathmines,Dublin 6
Tesco Crumlin,Crumlin Shopping Centre,Crumlin,Dublin 12
Tesco Ballyfermot,Upper Ballyfermot Road,Ballyfermot,Dublin 10
Tesco Finglas Clearwater,Finglas Road,,Dublin 11
Tesco Phibsboro,Phibsboro Shopping Centre,Phibsboro,Dublin 7
Tesco Prussia Street,Park Shopping Centre,Prussia Street,Dublin 7
Tesco Artane,Artane Castle Shopping Centre,Artane,Dublin 5
Tesco Santry,Omni Park Shopping Centre,Santry,Dublin 9
Tesco Jervis Centre,Jervis Street,,Dublin 1
Tesco Baggot Street,15 Lower Baggot Street,,Dublin 2
Tesco Merrion,Merrion Centre,Merrion Road,Dublin 4
Cisco Systems,P6 East Point Business Park,,Dublin 3
McCaugheys Newsagents Ltd,113 Clonliffe Road,,Dublin 3
Hilan Chinese & Korean Restaurant,45 Capel Street,,Dublin 1
Texaco,Ballygall Road East,Glasnevin,Dublin 11
Airport Take Away,97 Swords Road,Whitehall,Dublin 9
Spar,23-25 Lower Rathmines Road,Rathmines,Dublin 6
Spar,101 Lower Rathmines Road,Rathmines,Dublin 6
Spar,8 Lower Drumcondra Road,Drumcondra,Dublin 9
The Courts Service Restaurant,"Phoenix House, Phoenix Street North",Smithfield,Dublin 7
Bombay Pantry,38 Philipsburgh Avenue,Fairview,Dublin 3
Rainbow Chinese Take Away,103 New Cabra Road,,Dublin 7
Messrs Maguire,1-2 Burgh Quay,,Dublin 2
The Barge Inn,42 Charlemont Street,,Dublin 2
Tramco,125 Lower Rathmines Road,,Dublin 6
Q Bar,O'Connell Bridge House,D'Olier Street,Dublin 2
Cinnamon Café,Coke Lane,Smithfield,Dublin 7
Centra,Eastpoint Business Park,Fairview,Dublin 3
The Admiral Restaurant,1 Marlborough Street,,Dublin 1
Themekong,307 Swords Road,Santry,Dublin 9
Coyle Hamilton Willis,Grand Mill Quay,Barrow Street,Dublin 4
Bruno Take Away,2a Oxmantown Road,,Dublin 7
Sorrento Take Away,10b Arbour Hill,,Dublin 7
Coreana Supermarket,18 Great Denmark Street,,Dublin 1
Centra Supermarket,Oscar Traynor Road,Coolock,Dublin 17
KPMG,1 Harbourmaster Place,IFSC,Dublin 1
Spar,390 Collins Avenue,,Dublin 9
Rostrevor House Private Nursing Home,56 Orwell Road,Rathgar,Dublin 6
The Pig's Ear Restaurant,4 Nassau Street,,Dublin 2
Antonio Take Away,64 Quarry Road,,Dublin 7
Subway,"Ground Floor, 7 Wexford Street",,Dublin 2
Subway,22 Harcourt Road,,Dublin 2
Alexandra College,Milltown Road,Milltown,Dublin 6
Superquinn Rathbourne,The Village,Rathbourne,Dublin 15
Spar,3-5 Orwell Road,Rathgar,Dublin 6
A & L Goodbody,IFSC,North Wall Quay,Dublin 1
Roddy Bolands Bar,12-14 Upper Rathmines Road,Rathmines,Dublin 6
Fortes Take Away,12 Orwell Road,Rathgar,Dublin 6
The Shamrock Lodge,Seamus Ennis Road,Finglas,Dublin 11
DNS,73 Ballybough Road,,Dublin 3
Broadway Pizza Parlour,Unit 6 Custom House Square,IFSC,Dublin 1
"Department of Enterprise, Trade & Employment","Davitt House, 65A Adelaide Road",,Dublin 2
la's Take Away,10 Fitzmaurice Road,Ballygall,Dublin 11
Peggy Kelly's,163 Harolds Cross Road,,Dublin 6
Day Today,32 Brookwood Rise,Artane,Dublin 5
Lam's Chinese Take Away,286 Ballyfermot Road,Ballyfermot,Dublin 10
Texas Fried Chicken,Unit 47 Crumlin Shopping Centre,Crumlin,Dublin 12
Full House Restaurant,58-59 Middle Abbey Street,,Dublin 1
Bombay Pantry,Unit 6 Rathbourne Village,Ashtown,Dublin 15
Childrens University Hospital,Temple Street,,Dublin 1
Centra,197 Harolds Cross Road,,Dublin 6 West
 Thai Restaurant,94 Terenure Road East,Terenure,Dublin 6
Capri Take Away,40 Sundrive Road,Kimmage,Dublin 6
Ger's Deli,347b Ballyfermot Road,,Dublin 10
New York Grill,5 Excise Walk,IFSC,Dublin 1
ABN AMRO,Custom House Plaza 1,IFSC,Dublin 1
The O2 Dublin,North Wall Quay,,Dublin 1
Graham O'Sullivan Restaurants Ltd,Unit 14a Ashleaf Shopping Centre,Crumlin,Dublin 12
Eddie Rockets,Omni Park Shopping Centre,Santry,Dublin 9
Eddie Rockets,51 Lower O'Connell Street,,Dublin 1
Eddie Rockets,Lidl Shopping Centre,Walkinstown Avenue,Dublin 12
Centra Kimmage,177 Lower Kimmage Road,,Dublin 6W
Starry Kitchen,110 Upper Drumcondra Road,Drumcondra,Dublin 9
Centra Frankfort Avenue,167 Upper Rathmines Road,,Dublin 6
Swords Garden (2),5 Malahide Road,Artane,Dublin 5
Wun Loy Chinese Take Away,Unit 2 Ballymun Civic Plaza,Shangan Road,Dublin 9
Mizzoni Pizza & Pasta Company,15 Prospect Road,,Dublin 9
Wilde & Green,Milltown Road,Milltown,Dublin 6
Spar Texaco Express,237 Crumlin Road,Crumlin,Dublin 12
Tasty Hut,61 Upper Dorset Street,,Dublin 1
Spar,Unit 1 The Plaza,Parkwest,Dublin 12
Ranelagh Take Away,8 Field Terrace,Ranelagh,Dublin 6
Green Nineteen,19 Lower Camden Street,,Dublin 2
Hoang Ha Chinese,274 Harolds Cross,,Dublin 6W
Zen,89 Upper Rathmines Road,Rathmines,Dublin 6
Smyths,75-77 Ranelagh Road,Ranelagh,Dublin 6
londis,3 Meath Mart,Meath Street,Dublin 8
Good Fortune Chinese Take Away,Unit 5 Greendale Shopping Centre,Kilbarrack,Dublin 5
Café Inna,4 Milltown Centre,Milltown,Dublin 6
J Mark Coffee Shop,34-35 Wellington Quay,,Dublin 2
Lin Kee Chinese Take Away,89 Rosemount Avenue,Artane,Dublin 5
Magic Wok Chinese,83 Swords Road,Whitehall,Dublin 9
The Barristers Tea Room Restaurant,The Four Courts,,Dublin 7
Café Sol Ltd,62-63 Dawson Street,,Dublin 2
Baxter & Green,Block 4 The Harcourt Centre,Harcourt Road,Dublin 2
Café Sol,46 Lower Baggot Street,,Dublin 2
Hoi Wun Take Away,48 Main Street,Finglas,Dublin 11
Hedigan's The Brian Boru,5 Prospect Road,Glasnevin,Dublin 9
The Vaults Trading Ltd,Harbourmaster Place,IFSC,Dublin 1
The Bagel Bar,Unit 12 Omni Park Shopping Centre,Santry,Dublin 9
Botanic House,22-24 Botanic Road,Glasnevin,Dublin 9
The East Point Café Bar,Block E East Point Business Park,,Dublin 3
Bia Blasta,19d Millbourne Avenue,Drumcondra,Dublin 9
Harolds Cross Greyhound Stadium,Harolds Cross,,Dublin 6W
St. Vincents Hospital,Richmond Road,,Dublin 3
Eddie Rockets,Unit 3-4 Terenure Place,Terenure,Dublin 6
Focus Ireland,15 Eustace Street,Temple Bar,Dublin 2
Ashling Hotel,Parkgate Street,,Dublin 8
Centra,12-13 Kilbarrack Shopping Centre,Swans Nest Road,Dublin 5
Castello,157 Drimnagh Road,Drimnagh,Dublin 12
Ho Ho Chinese Fast Food Restaurant,13 Upper Rathmines Road,Rathmines,Dublin 6
China Palace,Unit 6 Finglas Town Centre,Finglas,Dublin 11
The French Paradox,53 Shelbourne Road,,Dublin 4
Riva Restaurant,Unit 1-4 Hanover Quay,Grand Canal Dock,Dublin 2
Chez Max,133 Lower Baggot Street,,Dublin 2
Four Star Pizza,139b Phibsboro Road,,Dublin 7
Herbstreet Restaurant,Unit 3-4 Hanover Quay,Grand Canal Dock,Dublin 2
Tak Tai Ltd,Unit 1 Malpas Court,Clanbrassil Street,Dublin 8
BQ Inn Chinese Take Away,118 Ballygall Road West,,Dublin 11
Bamboo Café,46 Lower Drumcondra Road,,Dublin 9
Four Courts Public Restaurant,Four Courts,Inns Quay,Dublin 7
Harry Ramsdens,"Gallery Food Court, Jervis Street Shopping Centre",Henry Street,Dublin 1
B Borza,359 Ballyfermot Road,,Dublin 10
Cactus Jacks,Millenium Walkway,Middle Abbey Street,Dublin 1
Jade Chinese Restaurant,27 Little Mary Street,,Dublin 7
St. Patricks College,Drumcondra,,Dublin 9
Chili Club Restaurant,1 Annes Lane,South Anne Street,Dublin 2
PHQ,96c Omni Shopping Centre,Santry,Dublin 9
Dominium S.A.,38 Talbot Street,,Dublin 1
Molloys Public House,59 Talbot Street,,Dublin 1
Roma Take Away,11 Cardiffsbridge Road,Finglas,Dublin 11
The Hut,159 Phibsboro Road,,Dublin 7
Abrakebabra,Drumcondra Road Lower,Drumcondra,Dublin 9
Starbucks Coffee Company,63-65 Mespil Road,,Dublin 4
Starbucks Coffee Company,"Unit 2 The Oval,  Road",Ballsbridge,Dublin 4
Starbucks Coffee Company,Unit 32-33 Custom House Quay,Docklands,Dublin 1
Starbucks Coffee Company,Dawson Street,,Dublin 2
Starbucks Coffee Company,Exchange House,IFSC,Dublin 1
Starbucks Coffee Company,Ranelagh,,Dublin 6
Starbucks Coffee Company,"BT2, 28-29 Grafton Street",,Dublin 2
Lucky Dragon,70 Fassaugh Avenue,Cabra,Dublin 7
Day today,39 Amiens Street,,Dublin 1
Cherryfield Lodge Nursing Home,Milltown Park,Milltown,Dublin 6
Nakuro Restaurant,Dublin Zoo,Phoenix Park,Dublin 8
Tim Hortons,Dublin Zoo,Phoenix Park,Dublin 8
Meerkat Restaurant,Dublin Zoo,Phoenix Park,Dublin 8
Department of Social & Family Affairs,Information Servies Division East Block,"Con Colbert House, Kilmainham",Dublin 8
The bagel Bar,95a Terenure Road East,Terenure,Dublin 6
Slattery's Pub,129 Capel Street,,Dublin 1
Cassidy's Hotel,1 Cavendish Row,Upper O'Connell Street,Dublin 1
Centra,"Lighthouse Apts, Church Road",East Wall,Dublini 3
Gourmet Burger Ktchen,Unit 1 Templebar Square,Temple Bar,Dublin 2
India Link,8 Shantalla Road,Beaumont,Dublin 9
The Lombard,1-2 Lombard Street/44 Pearse Street,,Dublin 2
The Clarendon Bar,"32 Clarendon Street, Dublin 2",,Dublin 2
Londis,35 Parkgate Street,,Dublin 8
