Name,Address1,Address2,Area
Sacred Heart Residence,Sybil Hill Rd,,Dublin 5
Ciao Bella Roma Restaurant,24/25 Parliament St,,Dublin 2
JP Retail Ltd T/A Spar,2/6 Lr Gr Canal Street,,Dublin 2
The Stork Shop,18 Holles Street,,Dublin 2
O2 Building,Sir John Rogersons Quay,,
DAX Restaurant,23 Pembroke Street Upper,,Dublin 2
Roxford Lodge Hotel,46 Northumberland Road,Ballsbridge,Dublin 4
Lombard Shop,3B Lombard Street East,,Dublin 2
13/14 Aungier Street,,,Dublin 2
Café En Seine,39 Dawson Street,,Dublin 2
The Shelbourne Hotel,27 St Stephens Green,,Dublin 2
Costcutters,35 Lower Dorset Street,,Dublin 1
Hanlin Restaurant,154 Parnell Street,,Dublin 1
Nash's,47-48 Thomas Street,,Dublin 8
Ginger Indian Restaurant & Take Away,146 Lower Rathmines Road,,Dublin 6
Di Bella Café,47-48 Hogan Place,,Dublin 2
O'Briens,"Unit 2 The Aldi Scheme, St. Margarets Rd",Finglas,Dublin 11
Clonskeagh Hospital,Clonskeagh,Clonskeagh,Dublin 6
Sir Patrick Duns Hospital,Lower Grand Canal Street,,Dublin 2
The Lotts Café Bar,9 Lower Liffey Street,,Dublin 1
Keshk Café,129 Upper Leeson Street,,Dublin 4
Lemon Café Bar,42 Stephen Street Lower,,Dublin 2
Sheldon Park Hotel,Kylemore Road,,Dublin 12
Turrets Restaurant,147-149 Drimnagh Road,,Dublin 12
Macari Take Away,13 Tyrconnell Road,Inchicore,Dublin 8
Tiffanys Café,255 Crumlin Road,Crumlin,Dublin 12
Maxol Service Station,Walkinstown Avenue,Walkinstown,Dublin 12
Pembroke Townhouse,88-90 Pembroke Road,Ballsbridge,Dublin 4
Mocha,1 Lower Rathmines Road,Rathmines,Dublin 6
College Deli,185 Townsend Street,,Dublin 2
Cocoon Bar,2 Duke Lane,,Dublin 2
Second Bite,7 Poolbeg Street,,Dublin 2
Ba mizu,Powerscourt Townhouse,South William Street,Dublin 2
Café Mino,Powerscourt Townhouse,South William Street,Dublin 2
IIB Bank PLC,Sandwith St,,Dublin 2
Imperial Chinese Restaurant,12A Wicklow Street,,Dublin 2
Spar Tara Street,"Unit 3, Trinity Plaza",Tara Street,Dublin 2
Eurospar,Hanover Building,Hanover Street East,Dublin 2
Siam Thai Ltd,14/15 St Andrew Street,,Dublin 2
Gerards Student Café/The Institute of Education,Lr Leeson St,,Dublin 2
Gerards Deli & Sandwich Bar,4 Lr Leeson St,,Dublin 2
The Larder,8 Parliament St,,Dublin 2
Bocca,3 South Anne Street,,Dublin 2
Simons Place Coffee Shop,22 Sth Great Georges St,,Dublin 2
Boulevard Café,27 Exchequer Street,,Dublin 2
Café Boulevard,132 Lr Baggot St,,Dublin 2
Bar Italia & Ristorante,26 Lr Ormond Quay,,Dublin 1
The Farm Restaurant,3 Dawson St,,Dublin 2
Centra,9 Wicklow Street,,Dublin 2
Chapter & Verse,1&2 Lr Leeson Street,,Dublin 2
The Beachcomber,179 Howth Road,Killester,Dublin 5
The White Horse Inn,1 Georges Quay,,Dublin 2
Joint Administration Committee,Dail Eireann,Kildare Street,Dublin 2
Riverside 1,Sir John Rogersons Quay,,Dublin 2
Bagel Factory,33 Wicklow St,,Dublin 2
Cassidy's Bar,27 Westmoreland Street,,Dublin 2
Gresham Hotel,23 Upr O'Connell Street,,Dublin 1
The Clarence Hotel,6-8 Wellington Quay,,Dublin 2
Quality Hotel Dublin,Sir John Rogersons Quay,Cardiff Lane,Dublin 2
Stags Head Pub,Dame Lane,,Dublin 2
Hardrock Café,12 Fleet Street,,Dublin 1
TGI Fridays,St Stephens Green,,Dublin 2
Golden Beach,71 Parnell Street,,Dublin 1
Sheehans,17 Chatham Street,,Dublin 2
Orthopaedic Hospital of Ireland,Castle Avenue,Clontarf,Dublin 3
The Fitzwilliam Card Club,Clifton Hall,Lr Fitzwilliam St,Dublin 2
Les Amis,11A/11B Vernon Ave,Clontarf,Dublin 3
Pearl Brasserie,20 Merrion Street Upr,,Dublin 2
Il Posto,10 St Stephens Green,,Dublin 2
Super Valu,Aston Quay,,Dublin 2
Mao Restaurant,2 - 3 Chatham Row,,Dublin 2
Kennedy's Bar & Restaurant,30/32 Westland Row,,Dublin 2
Da Pino Restaurant,38 - 40 Parliament Street,,Dublin 2
Salamanca Restaurant,1 St Andrew St,,Dublin 2
Mexico to Rome,23 East Essex Street,,Dublin 2
Ashtons,11 Vergemount,Clonskeagh,Dublin 6
The Station House,3 - 5 Station Road,Raheny,Dublin 5
Govinda's Restaurant,4 Aungier St,,Dublin 2
Riceland Chinese Takeaway,17B Main Street,,Dublin 5
Morrison Hotel,Ormond Quay Lower,,Dublin 1
Lin Kee Chinese Take Away,75 North Strand Road,,Dublin 3
Eddie Rockets,7 South Anne St,,Dublin 2
Sinnotts Bar,South King Street,,Dublin 2
"Subway,",Crown Alley,Temple Bar,Dublin 2
Doheny & Nesbitts Pub,4 - 5 Lower Baggott Street,,Dublin 2
Foodlife Sandwich Bar,St Stephens Green Shopping Centre,,Dublin 2
Café Bar Deli,12 - 13 South Great Georges Street,,Dublin 2
Changs,11A Lower Baggot Street,,Dublin 2
Milk Bar Ltd.,Setanta Place,,Dublin 2
Café Leon,33 Exchequer Street,,Dublin 2
One Pico,Molesworth Place,,Dublin 2
Bleu Bistro,Dawson Street,,Dublin 2
Cornucopia Restaurant,19 Wicklow Street,,Dublin 2
SPAR,Unit 4 (35 - 41) Parnell Street,,Dublin 1
The Irish Dairy Board,Grattan House,Lower Mount Street,Dublin 2
Green Gencko T/A Chameleon Restaurant,1 Lower Fownes Street,Temple Bar,Dublin 2
AIB International Centre,Memorial Road,IFSC,Dublin 1
Doyles Pub,9 College St,,Dublin 2
The Nuthouse Café,169A Howth Rd,Killester,Dublin 5
Macari Take- Away,5 Main Street,Raheny,Dublin 5
Feeragh Ltd,T/A The Watermill,411 Howth Rd,Dublin 5
Bar Italia,"Unit 4,The Book end",Essex Quay,Dublin 8
Celestines Brasserie,16 Maypark,Donnycarney,Dublin 5
Café Sora,32 Aungier St,,Dublin 2
Jurys Inn,Parnell Street,,Dublin 1
RTE Sports and Social Club,Nutley Lane,Donnybrook,Dublin 4
The Italian Connection,95A Talbot Street,,Dublin 1
South William,52 South William Street,,Dublin 2
Petit Café,35A Kildare St,,Dublin 2
National Library of Ireland,Kildare Street,,Dublin 2
Karaoke Box Ltd.,7 - 9  Exchequer Street,,Dublin 2
The Pembroke Lounge,31 Lower Pembroke Street,,Dublin 2
The Leeson Hotel,26/27 Lr Leeson St,,Dublin 2
Smurfit Kappa Group,Beech Hill,Clonskeagh,Dublin 4
Wok Cuisine,6 Malahide Rd,Coolock Village,Dublin 5
Spar,7 Vernon Ave,Clontarf,Dublin 3
Café 20,20 Suffolk Street,,Dublin 2
